municipio,total,abr,mai,jun,jul,ago,set,out,nov,dez
ABAETETUBA,278.896736,47.8824,50.3778,40.5864,7.665,48.3042,25.351421,17.947671,21.170138,19.611706
ABEL FIGUEIREDO,13.098772,2.1318,2.2968,1.6824,0.4806,2.1876,1.319696,0.867847,1.096345,1.035684
ACARA,103.398332,17.5776,18.3852,14.7624,2.889,17.5944,9.607557,6.670353,8.171198,7.740624
AFUA,56.352966,9.9846,10.3098,8.7666,1.1322,9.9102,4.730799,3.440811,4.132415,3.945541
AGUA AZUL DO NORTE,22.714057,3.8328,4.0524,3.345,0.576,3.8844,2.091929,1.501048,1.773528,1.656952
ALENQUER,113.641239,18.4998,19.518,15.1572,3.345,18.4794,11.347691,7.997331,9.78697,9.509847
ALMEIRIM,49.147982,8.5818,9.2724,7.5318,1.3692,8.877,4.133254,2.795982,3.429513,3.157033
ALTAMIRA,196.44187,27.351,31.4496,20.727,8.8212,29.7084,23.871393,15.682892,20.060475,18.76991
ANAJAS,41.097513,7.3776,7.6968,6.6072,0.9372,7.4352,3.26817,2.302461,2.853607,2.619275
ANANINDEUA,804.593142,109.1202,126.0054,75.8586,38.7144,115.5138,105.208198,66.602315,86.863377,80.706852
ANAPU,58.154785,9.2232,10.0446,7.8618,1.8984,9.678,5.80094,3.983216,4.996597,4.668032
AUGUSTO CORREA,72.25953,12.5154,13.1076,10.9572,1.6608,12.6252,6.217154,4.518362,5.413686,5.244128
AURORA DO PARA,41.260124,6.7908,7.1496,5.6706,1.2492,6.8922,3.942825,2.832735,3.428017,3.304147
AVEIRO,17.637063,3.0888,3.1944,2.691,0.4068,3.1332,1.518125,1.079767,1.292927,1.232044
BAGRE,32.030885,5.6298,5.9772,4.9038,0.8706,5.7078,2.705773,1.868098,2.327809,2.040005
BAIAO,55.954359,9.6942,10.4016,8.31,1.5336,9.912,5.043046,3.436852,4.047803,3.575258
BANNACH,5.602427,0.7914,0.936,0.627,0.2616,0.888,0.634928,0.42801,0.536236,0.499253
BARCARENA,197.025292,28.941,32.6274,22.2342,8.4012,30.63,23.097063,14.978202,18.810633,17.305594
BELEM,2248.141445,308.5236,355.7166,227.703,104.2518,331.1394,284.134089,183.058452,235.925878,217.688626
BELTERRA,30.637848,4.8792,5.2536,3.8838,1.0236,4.9746,3.232774,2.169427,2.665412,2.555435
BENEVIDES,117.518646,18.5556,20.2854,15.0252,4.2846,19.2942,12.16068,8.135378,10.187273,9.590315
BOM JESUS DO TOCANTINS,23.184512,3.6942,3.9822,2.9946,0.75,3.7482,2.381887,1.660376,2.041312,1.931737
BONITO,22.084635,3.5652,3.8196,2.8656,0.702,3.6414,2.291641,1.521297,1.861689,1.816208
BRAGANCA,207.67269,32.3202,35.2176,25.89,7.029,32.9958,22.124219,15.124209,18.895282,18.07638
BRASIL NOVO,34.792036,5.2884,5.8416,4.1592,1.2714,5.472,3.857631,2.560218,3.240373,3.101214
BREJO GRANDE DO ARAGUAIA,11.260662,1.833,1.989,1.4454,0.3852,1.8552,1.141854,0.765283,0.931369,0.914356
BREU BRANCO,72.222004,11.646,12.7014,10.0068,2.2056,12.135,7.06424,4.947843,5.969923,5.545198
BREVES,163.577665,27.12,28.8768,23.2134,4.6932,27.5544,15.418409,10.918597,13.361444,12.421415
BUJARU,42.112084,7.7634,8.0088,6.7878,0.9144,7.734,3.191812,2.27424,2.790023,2.647609
CACHOEIRA DO ARARI,28.856711,4.7598,4.9518,4.137,0.6774,5.1264,2.410094,1.868704,2.246263,2.67925
CACHOEIRA DO PIRIA,30.714895,5.6418,5.8512,5.1546,0.6024,5.7828,2.241778,1.664945,1.933958,1.841414
CAMETA,209.91825,35.5464,38.3046,28.7532,7.5012,36.0846,20.999272,13.924486,15.549923,13.254569
CANAA DOS CARAJAS,80.951271,10.7418,13.0818,7.7274,4.3452,11.8608,10.66534,6.529944,8.29725,7.701737
CAPANEMA,118.682484,16.8468,19.3386,13.2474,5.046,18.234,13.931636,9.373558,11.684947,10.979543
CAPITAO POCO,94.707714,15.2862,16.3674,11.979,3.2766,15.1896,9.691206,6.672716,8.271183,7.973809
CASTANHAL,323.681524,43.6266,50.7864,31.0584,15.5298,46.3902,42.13541,26.721205,34.937107,32.496402
CHAVES,24.25149,4.425,4.5834,3.9984,0.4872,4.5108,1.768721,1.316393,1.613553,1.548023
COLARES,20.19865,3.3138,3.5148,2.8026,0.5712,3.4092,1.934542,1.384327,1.670986,1.597195
CONCEICAO DO ARAGUAIA,70.816554,9.9372,11.4954,6.8898,3.5442,10.4184,8.82608,5.621541,7.17683,6.907103
CONCORDIA DO PARA,49.842688,8.3976,8.8716,7.1052,1.4382,8.541,4.616056,3.159336,3.964052,3.749644
CUMARU DO NORTE,15.082192,2.3712,2.5764,1.9632,0.4914,2.4768,1.566877,1.062055,1.325353,1.248907
CURIONOPOLIS,35.218925,5.6682,6.1848,4.5828,1.1724,5.784,3.657911,2.399723,2.95493,2.814161
